Designator,Mid X,Mid Y,Rotation,Layer
C1,438.75,-323.8575,0,T
C2,443.68,-336.8575,180,T
C3,435.45,-327.8575,90,T
C4,446.95,-328.6075,-90,T
C5,438.72,-325.3575,0,T
C6,435.45,-332.1075,90,T
C7,434.9,-337.52,0,T
C8,432.4,-337.52,180,T
C9,450.2,-334.32,0,T
C10,454.9,-339.52,90,T
C11,436.8,-335.32,-90,T
C12,432.45,-329.6075,90,T
C13,432.45,-332.0875,-90,T
C14,225,-77.5,0,T
C15,255,-77.5,0,T
C16,285,-77.5,0,T
C17,315,-77.5,0,T
C18,345,-77.5,0,T
C19,375,-77.5,0,T
C20,405,-77.5,0,T
C21,435,-77.5,0,T
C22,225,-107.5,0,T
C23,254.98,-107.5,0,T
C24,285,-107.5,0,T
C25,315,-107.5,0,T
C26,345,-107.5,0,T
C27,375,-107.5,0,T
C28,405,-107.5,0,T
C29,435,-107.5,0,T
C30,224.98,-137.5,0,T
C31,255,-137.5,0,T
C32,285,-137.5,0,T
C33,315,-137.5,0,T
C34,345,-137.5,0,T
C35,375,-137.5,0,T
C36,405,-137.5,0,T
C37,435.02,-137.5,0,T
C38,225,-167.5,0,T
C39,255,-167.5,0,T
C40,284.98,-167.5,0,T
C41,315,-167.5,0,T
C42,345,-167.5,0,T
C43,375,-167.5,0,T
C44,405,-167.5,0,T
C45,435.02,-167.5,0,T
C46,225,-197.5,0,T
C47,255,-197.5,0,T
C48,285,-197.5,0,T
C49,315,-197.5,0,T
C50,345,-197.5,0,T
C51,375.02,-197.5,0,T
C52,405,-197.5,0,T
C53,435,-197.5,0,T
C54,225,-227.5,0,T
C55,255,-227.5,0,T
C56,285,-227.5,0,T
C57,315,-227.5,0,T
C58,345,-227.5,0,T
C59,375.02,-227.5,0,T
C60,405.02,-227.5,0,T
C61,435.02,-227.5,0,T
C62,225.02,-257.5,0,T
C63,255,-257.5,0,T
C64,285,-257.5,0,T
C65,315.02,-257.5,0,T
C66,345,-257.5,0,T
C67,375,-257.5,0,T
C68,405.02,-257.5,0,T
C69,435.02,-257.5,0,T
C70,225,-287.5,0,T
C71,255,-287.5,0,T
C72,285.02,-287.5,0,T
C73,315,-287.5,0,T
C74,345,-287.5,0,T
C75,375,-287.5,0,T
C76,405,-287.5,0,T
C77,435.02,-287.5,0,T
D1,455.7,-342.12,180,T
D2,225,-72.25,180,T
D3,255,-72.25,180,T
D4,285,-72.25,180,T
D5,315,-72.25,180,T
D6,345,-72.25,180,T
D7,375,-72.25,180,T
D8,405,-72.25,180,T
D9,435,-72.25,180,T
D10,225,-102.25,180,T
D11,255,-102.25,180,T
D12,285,-102.25,180,T
D13,315,-102.25,180,T
D14,345,-102.25,180,T
